title|likes|url
Here U Are|1500000|https://www.webtoons.com/en/romance/here-u-are/list?title_no=5834
Cleric of Decay|1500000|https://www.webtoons.com/en/fantasy/cleric-of-decay/list?title_no=5813
Behind Her Highness’s Smile|1500000|https://www.webtoons.com/en/drama/behind-her-highnesss-smile/list?title_no=6752
A Man's Man|1500000|https://www.webtoons.com/en/drama/a-mans-man/list?title_no=2876
The Gardener in a Hunter World|1400000|https://www.webtoons.com/en/fantasy/the-gardener-in-a-hunter-world/list?title_no=6220
The Extra’s Academy Survival Guide|1400000|https://www.webtoons.com/en/fantasy/the-extras-academy-survival-guide/list?title_no=6465
Realta|1400000|https://www.webtoons.com/en/fantasy/realta/list?title_no=3271
Press Play, Sami|1400000|https://www.webtoons.com/en/romance/press-play-sami/list?title_no=6670
Mono and Mochi|1400000|https://www.webtoons.com/en/comedy/mono-and-mochi/list?title_no=6019
Klimt's Kisses|1400000|https://www.webtoons.com/en/romance/klimts-kisses/list?title_no=5115
Can't Get Enough of You|1400000|https://www.webtoons.com/en/romance/cant-get-enough-of-you/list?title_no=6221
Winter Before Spring|1300000|https://www.webtoons.com/en/drama/winter-before-spring/list?title_no=6400
The Last Dimension|1300000|https://www.webtoons.com/en/sf/the-last-dimension/list?title_no=3174
The Last Adventurer|1300000|https://www.webtoons.com/en/action/the-last-adventurer/list?title_no=6135
Secretly More Powerful than the Hero|1300000|https://www.webtoons.com/en/fantasy/secretly-more-powerful-than-the-hero/list?title_no=5845
Sable Curse|1300000|https://www.webtoons.com/en/fantasy/sable-curse/list?title_no=2735
Lord of Goblins|1300000|https://www.webtoons.com/en/fantasy/lord-of-goblins/list?title_no=5227
Like Mother, Like Daughter|1300000|https://www.webtoons.com/en/drama/like-mother-like-daughter/list?title_no=5734
Honey Lemon|1300000|https://www.webtoons.com/en/romance/honey-lemon/list?title_no=2762
Hardcore Leveling Warrior: Earth Game|1300000|https://www.webtoons.com/en/action/hardcore-leveling-warrior-earth-game/list?title_no=5974
Girlfriend Manual|1300000|https://www.webtoons.com/en/romance/girlfriend-manual/list?title_no=7343
Blue Matter|1300000|https://www.webtoons.com/en/fantasy/blue-matter/list?title_no=2923
The Fateful Invitation|1200000|https://www.webtoons.com/en/romance/the-fateful-invitation/list?title_no=5730
The Empress’s Two Wolves|1200000|https://www.webtoons.com/en/romance/the-empresss-two-wolves/list?title_no=7006
The Cup of Vengeance Is in Your Hands|1200000|https://www.webtoons.com/en/fantasy/the-cup-of-vengeance-is-in-your-hands/list?title_no=6537
The Breaker: Eternal Force|1200000|https://www.webtoons.com/en/action/the-breaker-eternal-force/list?title_no=4501
Roots of the Heart|1200000|https://www.webtoons.com/en/romance/roots-of-the-heart/list?title_no=6134
Paranoid Mage|1200000|https://www.webtoons.com/en/action/paranoid-mage/list?title_no=6079
My Beloved Oppressor|1200000|https://www.webtoons.com/en/drama/my-beloved-oppressor/list?title_no=6298
Melting Slowly|1200000|https://www.webtoons.com/en/romance/melting-slowly/list?title_no=6413
